id,last_scraped,neighbourhood,neighbourhood_cleansed,city,country,latitude,longitude,price,bathrooms,bedrooms,beds,bed_type,guests_included
31551369,2019-02-11,Chongwenmen,东城区,Dongcheng Qu,China,39.89722623069911,116.42403016311025,459.0,1.0,1.0,1.0,Real Bed,2
31551465,2019-02-11,Chaoyang Park/Tuan Jie Hu,朝阳区 / Chaoyang,朝阳区,China,39.93071874990996,116.46515567623246,465.0,1.0,2.0,2.0,Real Bed,1
31551474,2019-02-11,Wangfujing/Dongdan,东城区,东城区,China,39.91779571951919,116.40768385203496,263.0,1.0,1.0,2.0,Real Bed,1
31551700,2019-02-11,,顺义区 / Shunyi,顺义区,China,40.11443177747449,116.63320284781248,297.0,1.0,1.0,2.0,Real Bed,1
31551756,2019-02-11,,延庆县 / Yanqing,Yanqing,China,40.367116831102045,115.98843442720306,135.0,1.0,0.0,14.0,Real Bed,1
31552481,2019-02-11,ITC,朝阳区 / Chaoyang,朝阳区,China,39.90686523551047,116.45971460587316,3797.0,2.0,2.0,4.0,Real Bed,1
31553521,2019-02-11,Liuliqiao/Lize Bridge,丰台区 / Fengtai,Fengtai,China,39.85997558457312,116.31587644329304,169.0,1.0,1.0,1.0,Real Bed,1
31553654,2019-02-11,Wudaokou,海淀区,北京,China,39.9963921787156,116.320346061906,209.0,1.0,2.0,2.0,Real Bed,1
31553734,2019-02-11,,怀柔区 / Huairou,Huairou Qu,China,40.424519297055774,116.5534100480003,405.0,1.0,1.0,2.0,Real Bed,1
31553913,2019-02-11,Sanlitun,朝阳区 / Chaoyang,Chaoyang Qu,China,39.92682113698887,116.43923911772826,115.0,1.0,1.0,8.0,Real Bed,1
31554276,2019-02-11,,怀柔区 / Huairou,Huairou Qu,China,40.42481743422897,116.55534391727733,459.0,1.0,1.0,1.0,Real Bed,1
31554395,2019-02-11,Wangfujing/Dongdan,东城区,Beijing,China,39.911618620612,116.41958506368836,877.0,1.0,1.0,1.0,Real Bed,2
31554781,2019-02-11,Shuangjing,朝阳区 / Chaoyang,北京,China,39.89616833733007,116.46705908959254,796.0,1.0,2.0,3.0,Real Bed,1
31555470,2019-02-11,Sanlitun,朝阳区 / Chaoyang,Chaoyang Qu,China,39.93314644951331,116.46123512333516,398.0,1.0,2.0,2.0,Real Bed,2
31556016,2019-02-11,Sanlitun,朝阳区 / Chaoyang,Chaoyang Qu,China,39.932385981872926,116.4599475199121,587.0,1.0,2.0,2.0,Real Bed,2
31556177,2019-02-11,Beijing University,丰台区 / Fengtai,Fengtai,China,39.86313709689836,116.28594825396652,101.0,1.0,2.0,2.0,Real Bed,1
31557121,2019-02-11,Sanlitun,朝阳区 / Chaoyang,Chaoyang Qu,China,39.92191445541176,116.4584105474284,256.0,1.0,1.0,1.0,Real Bed,1
31557964,2019-02-11,Sanlitun,朝阳区 / Chaoyang,Chaoyang Qu,China,39.93294866727567,116.46053598846348,202.0,1.0,1.0,1.0,Real Bed,2
31557979,2019-02-11,Wukesong,海淀区,Haidian,China,39.90597380275899,116.26904800797963,499.0,1.0,2.0,3.0,Real Bed,1
31558339,2019-02-11,Sanlitun,朝阳区 / Chaoyang,Chaoyang Qu,China,39.93179066888752,116.46128107997382,229.0,1.0,1.0,1.0,Real Bed,2
31558837,2019-02-11,Beiyuan,朝阳区 / Chaoyang,北京,China,40.04834809018431,116.4339037933339,263.0,1.0,1.0,1.0,Real Bed,1
31559574,2019-02-11,Shichahai,西城区,北京,China,39.94324199166218,116.3799006652226,297.0,1.0,1.0,1.0,Real Bed,1
31562343,2019-02-11,Shichahai,东城区,Dongcheng Qu,China,39.93506394687167,116.40424127986114,445.0,1.0,1.0,1.0,Real Bed,1
31566540,2019-02-11,,密云县 / Miyun,北京市密云区古北水镇,China,40.65264898378853,117.27724442145696,216.0,1.0,2.0,3.0,Real Bed,1
31567236,2019-02-11,,密云县 / Miyun,密云区古北水镇,China,40.65256131038377,117.27721451143547,256.0,1.0,1.0,1.0,Real Bed,1
31568925,2019-02-11,Suzhouqiao,海淀区,北京市,China,39.96592704947603,116.30573632238016,567.0,1.0,2.0,3.0,Real Bed,1
31570217,2019-02-11,,房山区,Fangshan Qu,China,39.75721132254518,116.2104547790695,250.0,1.0,0.0,1.0,Real Bed,1
31570517,2019-02-11,Dongcheng,东城区,东城区,China,39.91200340892486,116.40411750001104,9996.0,2.0,3.0,6.0,Real Bed,1
31570734,2019-02-11,Chaoyang,朝阳区 / Chaoyang,Chaoyang Qu,China,39.89720383160997,116.50351037104218,479.0,1.0,1.0,1.0,Real Bed,1
31571016,2019-02-11,Chaoyang,朝阳区 / Chaoyang,Chaoyang Qu,China,39.984222182342805,116.4101152864908,499.0,1.0,2.0,2.0,Real Bed,1
31571039,2019-02-11,,房山区,Fangshan Qu,China,39.76668808163455,116.2102548811386,351.0,1.0,1.0,2.0,Real Bed,1
31571288,2019-02-11,Dongzhimen,东城区,Dongcheng Qu,China,39.948586354485045,116.41265447831182,499.0,1.0,1.0,1.0,Real Bed,1
31571347,2019-02-11,Chaoyang,朝阳区 / Chaoyang,Chaoyang Qu,China,39.899463526948665,116.49369535888434,499.0,1.0,1.0,1.0,Real Bed,1
31571757,2019-02-11,Zuojiazhuang,朝阳区 / Chaoyang,Chaoyang Qu,China,39.96767930690809,116.4537861110221,297.0,1.0,1.0,2.0,Real Bed,1
31571815,2019-02-11,Chaoyang,朝阳区 / Chaoyang,Beijing,China,39.82916575160738,116.465405644493,297.0,1.0,1.0,1.0,Real Bed,1
31571922,2019-02-11,Chaoyang,朝阳区 / Chaoyang,Chaoyang Qu,China,39.89901379805115,116.4940476454133,499.0,1.0,1.0,1.0,Real Bed,1
31572277,2019-02-11,Chaoyang Park/Tuan Jie Hu,朝阳区 / Chaoyang,Beijing,China,39.92406361747824,116.46240950742958,553.0,1.0,2.0,2.0,Real Bed,4
31572288,2019-02-11,,怀柔区 / Huairou,Huairou Qu,China,40.42463471431139,116.55557413400037,405.0,1.0,1.0,1.0,Real Bed,1
31572353,2019-02-11,Chaoyang,朝阳区 / Chaoyang,Chaoyang Qu,China,39.89931804488566,116.48076563215996,486.0,1.0,1.0,1.0,Real Bed,1
31572509,2019-02-11,,延庆县 / Yanqing,Yanqing Qu,China,40.52826430545593,116.0150788280448,398.0,1.0,1.0,2.0,Real Bed,1
31572609,2019-02-11,,怀柔区 / Huairou,Huairou Qu,China,40.4235693842438,116.55364914448548,816.0,1.0,1.0,1.0,Real Bed,1
31573023,2019-02-11,Kaiyangli,丰台区 / Fengtai,Fengtai Qu,China,39.867445912239376,116.3631063586242,688.0,1.0,3.0,3.0,Real Bed,1
31573329,2019-02-11,,怀柔区 / Huairou,Huairou Qu,China,40.42368767026724,116.55501983555732,405.0,1.0,1.0,2.0,Real Bed,1
31573620,2019-02-11,Haidian,西城区,北京市,China,39.93787142880592,116.33220372509508,560.0,1.0,3.0,4.0,Real Bed,5
31573653,2019-02-11,Shichahai,东城区,Beijing,China,39.94360348522012,116.39393754984312,398.0,1.0,0.0,2.0,Real Bed,1
31574057,2019-02-11,,房山区,Fangshan,China,39.73225650923062,116.2192215899364,121.0,1.0,1.0,2.0,Real Bed,1
31574244,2019-02-11,Shichahai,东城区,Dongcheng Qu,China,39.943727667391904,116.40525670647293,459.0,1.0,1.0,1.0,Real Bed,1
31574532,2019-02-11,,大兴区 / Daxing,Daxing Qu,China,39.76494810349323,116.33534027106634,330.0,1.0,0.0,2.0,Real Bed,1
31574755,2019-02-11,Foreign Trade,朝阳区 / Chaoyang,北京市,China,39.978925722110674,116.43176702887712,223.0,1.0,0.0,1.0,Real Bed,1
31574794,2019-02-11,Dong Si,东城区,Beijing,China,39.92613107952563,116.41915279273547,1302.0,2.0,2.0,4.0,Real Bed,4
31574806,2019-02-11,Wangfujing/Dongdan,东城区,Beijing,China,39.91017680792054,116.4203537191565,782.0,1.0,1.0,1.0,Real Bed,2
31575247,2019-02-11,Xicheng,西城区,Xicheng Qu,China,39.93617585467839,116.33626941820272,142.0,1.0,1.0,2.0,Real Bed,2
31575249,2019-02-11,,顺义区 / Shunyi,Beijing,China,40.1222148475324,116.61292419515836,236.0,1.0,1.0,1.0,Real Bed,1
31575567,2019-02-11,Dongzhimen,东城区,北京市,China,39.93806688819079,116.41000193852751,128.0,1.0,1.0,1.0,Real Bed,1
31575694,2019-02-11,Suzhouqiao,海淀区,Haidian Qu,China,39.98350312419572,116.30543932920858,256.0,1.0,1.0,1.0,Real Bed,2
31575863,2019-02-11,Third Road Jucun/Liucun,西城区,西城区,China,39.8933619177061,116.33770585897658,236.0,1.0,0.0,2.0,Real Bed,1
31575871,2019-02-11,Wudaokou,海淀区,Beijing,China,39.9892589985261,116.31715715280272,128.0,1.0,1.0,1.0,Real Bed,1
31576197,2019-02-11,Dongzhimen,东城区,Dongcheng Qu,China,39.93748168393218,116.40987165026549,297.0,1.0,1.0,1.0,Real Bed,1
31576272,2019-02-11,Xuanwu,西城区,Xicheng Qu,China,39.90479779862937,116.38449636419804,600.0,1.0,1.0,2.0,Real Bed,1
31576411,2019-02-11,,大兴区 / Daxing,北京,China,39.72936672528037,116.33871021393892,2003.0,1.0,1.0,1.0,Real Bed,1
31576436,2019-02-11,,通州区 / Tongzhou,Tongzhou Qu,China,39.92143932068665,116.6568623843617,317.0,1.0,1.0,1.0,Real Bed,1
31576528,2019-02-11,Chaoyang,朝阳区 / Chaoyang,北京,China,39.99604967246779,116.42070041702046,398.0,1.0,1.0,2.0,Real Bed,1
31576895,2019-02-11,Kaiyangli,丰台区 / Fengtai,北京市,China,39.86202159204696,116.37100693145769,250.0,1.0,1.0,2.0,Real Bed,3
31576946,2019-02-11,,通州区 / Tongzhou,Tongzhou Qu,China,39.922768533241445,116.65846584547008,317.0,1.0,1.0,1.0,Real Bed,1
31577143,2019-02-11,,通州区 / Tongzhou,Tongzhou Qu,China,39.92279581366292,116.65876016418486,317.0,1.0,1.0,1.0,Real Bed,1
